subject,block_type,block, block, condition, trial,offer_right,offer_left, offer_right_image, offer_left_image, exp_value_right, exp_value_left,expvalue_chosen, key, key_ID, chosen_card_image, unchosen_card, rt, reward,expvalue1,expvalue2,expvalue3,expvalue4
16,practice,1, training, no rumble,1,,, 12.jpg, 10.jpg,0.466504194,0.615232533,, pressed right button,5, card number 12, card number10,1.0097783,0,,,,
16,practice,1, training, no rumble,2,,, 11.jpg, 10.jpg,0.375335495,0.631199867,, pressed left button,4, card number 10, card number11,0.670882,0,,,,
16,practice,1, training, no rumble,3,,, 10.jpg, 11.jpg,0.626315633,0.374984468,, pressed right button,5, card number 10, card number11,0.6197989,1,,,,
16,practice,1, training, no rumble,4,,, 9.jpg, 12.jpg,0.498193315,0.486122834,, pressed left button,4, card number 12, card number9,0.6151367,0,,,,
16,practice,1, training, no rumble,5,,, 9.jpg, 10.jpg,0.472267853,0.620106582,, pressed right button,5, card number 9, card number10,0.4652821,1,,,,
16,test,1,1, no rumble,1,,, 4.jpg, 3.jpg,0.466504194,0.413504079,, pressed right button,5, card number 4, card number3,0.5631001,0,,,,
16,test,1,1, no rumble,2,,, 1.jpg, 3.jpg,0.517796443,0.375335495,, pressed right button,5, card number 1, card number3,0.5354443,1,,,,
16,,, training, rumble when pressing button,1,,, 3.jpg, 4.jpg,0.413504079,0.466504194,, pressed left button,4, card number 4, card number3,0.4680067,0,,,,
16,,, training, rumble when pressing button,2,,, 1.jpg, 2.jpg,0.517796443,0.631199867,, pressed right button,5, card number 1, card number2,0.4080031,1,,,,
16,,, training, rumble when pressing button,3,,, 2.jpg, 1.jpg,0.626315633,0.498939688,, pressed left button,4, card number 1, card number2,0.7168577,1,,,,
16,,, training, rumble when pressing button,4,,, 4.jpg, 1.jpg,0.486122834,0.498193315,, pressed right button,5, card number 4, card number1,0.5586477,0,,,,
16,,, training, rumble when pressing button,5,,, 3.jpg, 2.jpg,0.35386843,0.620106582,, pressed left button,4, card number 2, card number3,0.591804,1,,,,
16,,,2, rumble when pressing button,1,,, 11.jpg, 12.jpg,0.413504079,0.466504194,, pressed right button,5, card number 11, card number12,3.1720033,1,,,,
16,,,2, rumble when pressing button,2,,, 12.jpg, 10.jpg,0.47234587,0.631199867,, pressed left button,4, card number 10, card number12,0.3601752,1,,,,
16,,, training, rumble when showing reward,1,,, 5.jpg, 7.jpg,0.511076546,0.413504079,, pressed right button,5, card number 5, card number7,0.6308186,1,,,,
16,,, training, rumble when showing reward,2,,, 5.jpg, 6.jpg,0.517796443,0.631199867,, pressed left button,4, card number 6, card number5,0.4279917,0,,,,
16,,, training, rumble when showing reward,3,,, 8.jpg, 6.jpg,0.491193418,0.626315633,, pressed right button,5, card number 8, card number6,0.338951,1,,,,
16,,, training, rumble when showing reward,4,,, 6.jpg, 7.jpg,0.609226527,0.371343772,, pressed left button,4, card number 7, card number6,0.3237457,0,,,,
16,,, training, rumble when showing reward,5,,, 7.jpg, 6.jpg,0.35386843,0.620106582,, pressed right button,5, card number 7, card number6,0.3878224,0,,,,
16,,,3, rumble when showing reward,1,,, 9.jpg, 11.jpg,0.511076546,0.413504079,, pressed right button,5, card number 9, card number11,0.624434,1,,,,
16,,,3, rumble when showing reward,2,,, 11.jpg, 12.jpg,0.375335495,0.47234587,, pressed left button,4, card number 12, card number11,0.3019685,0,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,vibration off,,1,1,,,,,,,,,,,,,,,
,,,,vibration during choice,,2,2,,,,,,choice_location,choice_key,choice_card,unchosen card,,,,,,
,,,,vibration during outcome,,3,3,,,,,,right,1,1,1,,,,,,
,,,,,,4,4,,,,,,left,2,2,2,,,,,,
,,,,,,,,,,,,,,,3,3,,,,,,
,,,,,,,,,,,,,,,4,4,,,,,,
